ID,Work Item Type,Title,Test Step,Step Action,Step Expected,Area Path,Assigned To,State
"25789","Test Case","Scenario: Scenario name",,,,"Azure-DevOps-Training\Release 1","Mudigonda, Pavan (TR Technology) <NagaPavanKumar.Mudigonda@thomsonreuters.com>","Design"
,,,"1","Background: Given Google page is opened",,,,
,,,"2","When Search with WDIO",,,,
,,,"3","Then Click on the first search result",,,,
,,,"4","* URL should match https://webdriver.io/",,,,
"25790","Test Case","Scenario: Scenario name",,,,"Azure-DevOps-Training\Release 1","Mudigonda, Pavan (TR Technology) <NagaPavanKumar.Mudigonda@thomsonreuters.com>","Design"
,,,"1","Background: Given Google page is opened",,,,
,,,"2","When Search with webdriverio",,,,
,,,"3","Then Click on the first search result",,,,
,,,"4","* URL should match https://webdriver.io/",,,,
"25791","Test Case","Scenario Outline: Run first demo feature",,,,"Azure-DevOps-Training\Release 1","Mudigonda, Pavan (TR Technology) <NagaPavanKumar.Mudigonda@thomsonreuters.com>","Design"
,,,"1","Parameters: TestID = @TestID, SearchItem = @SearchItem, ExpectedURL = @ExpectedURL",,,,
,,,"2","Given Google page is opened",,,,
,,,"3","When Search with @SearchItem ",,,,
,,,"4","Then Click on the first search result",,,,
,,,"5","Then URL should match @ExpectedURL ",,,,
